T,F1,RP1,C1,V1,A1,AP1
2013-06-10 07:03:15+05:30,50.19,-31.838,0.94,233.04,216.619,218.946
2013-06-10 07:03:16+05:30,50.2,-31.398,0.925,232.97,213.157,215.457
2013-06-10 07:03:17+05:30,50.19,-31.982,0.934,232.97,215.263,217.626
2013-06-10 07:03:18+05:30,50.18,-31.277,0.919,233.07,211.914,214.209
2013-06-10 07:03:19+05:30,50.19,-30.96,0.909,232.9,209.53,211.805
2013-06-10 07:03:20+05:30,50.2,-30.533,0.907,232.92,209.106,211.324
2013-06-10 07:03:21+05:30,50.2,-30.268,0.902,232.97,208.056,208.956
2013-06-10 07:03:22+05:30,50.2,-29.028,0.888,232.9,204.81,209.44
2013-06-10 07:03:23+05:30,50.2,-29.43,0.895,232.99,206.418,207.378
2013-06-10 07:03:24+05:30,50.2,-28.803,0.888,232.88,207.317,206.731
2013-06-10 07:03:25+05:30,50.2,-29.518,0.898,232.95,204.292,209.209
2013-06-10 07:03:26+05:30,50.16,-29.858,0.902,233.01,204.002,210.042
2013-06-10 07:03:27+05:30,50.18,-30.772,0.907,232.88,208.178,211.254
2013-06-10 07:03:28+05:30,50.19,-30.578,0.913,232.99,210.422,212.632
2013-06-10 07:03:29+05:30,50.19,-30.01,0.911,233.06,210.23,212.361
2013-06-10 07:03:30+05:30,50.18,-29.873,0.903,233.04,208.303,210.434
2013-06-10 07:03:31+05:30,50.19,-31.097,0.922,233.17,212.789,215.049
2013-06-10 07:03:32+05:30,50.19,-29.878,0.907,233.05,209.237,211.359
2013-06-10 07:03:33+05:30,50.19,-30.693,0.92,233.1,212.248,214.456
2013-06-10 07:03:34+05:30,50.19,-29.383,0.908,233.22,209.605,211.655
2013-06-10 07:03:35+05:30,50.2,-30.065,0.915,233.03,211.018,213.15
2013-06-10 07:03:36+05:30,50.19,-29.946,0.913,233.19,210.707,212.825
2013-06-10 07:03:37+05:30,50.18,-30.43,0.915,233.26,211.368,213.547
2013-06-10 07:03:38+05:30,50.18,-30.39,0.913,233.25,210.773,212.953
2013-06-10 07:03:39+05:30,50.19,-30.862,0.914,233.25,211.047,213.292
2013-06-10 07:03:40+05:30,50.17,-30.875,0.929,233.53,214.719,216.928
2013-06-10 07:03:41+05:30,50.2,-31.085,0.916,233.36,211.417,213.69
2013-06-10 07:03:50+05:30,50.19,-30.719,0.91,233.33,210.119,212.352
2013-06-10 07:03:51+05:30,50.2,-31.973,0.935,233.29,215.82,218.175
2013-06-10 07:03:52+05:30,50.21,-31.761,0.917,233.23,211.391,213.764
2013-06-10 07:03:53+05:30,50.19,-29.473,0.904,233.33,208.811,210.881
2013-06-10 07:03:54+05:30,50.2,-31.712,0.908,233.17,209.415,211.802
2013-06-10 07:03:57+05:30,50.19,-31.488,0.917,233.34,211.565,213.896
2013-06-10 07:03:58+05:30,50.18,-31.673,0.91,233.18,209.893,212.269
2013-06-10 07:03:59+05:30,50.18,-30.954,0.903,232.95,207.973,210.264
2013-06-10 07:04:00+05:30,50.19,-32.615,0.928,232.96,213.602,216.078
2013-06-10 07:04:01+05:30,50.18,-29.605,0.898,232.95,207.141,209.246
2013-06-10 07:04:02+05:30,50.17,-29.459,0.904,233.01,208.671,210.74
2013-06-10 07:04:03+05:30,50.18,-31.082,0.907,231.66,207.837,210.149
2013-06-10 07:04:04+05:30,50.18,-32.408,0.929,232.1,213.177,215.626
2013-06-10 07:04:05+05:30,50.18,-31.59,0.955,232.03,219.358,221.621
2013-06-10 07:04:06+05:30,50.19,-29.769,0.906,231.91,207.894,210.015
2013-06-10 07:04:07+05:30,50.18,-30.368,0.928,231.88,213.056,215.209
2013-06-10 07:04:08+05:30,50.18,-29.754,0.905,232.05,207.909,210.027
2013-06-10 07:04:09+05:30,50.18,-28.944,0.902,231.97,207.145,209.157
2013-06-10 07:04:10+05:30,50.21,-28.998,0.903,232.06,207.604,209.619
2013-06-10 07:04:11+05:30,50.19,-28.15,0.888,231.99,203.99,205.923
2013-06-10 07:04:12+05:30,50.2,-26.649,0.868,232.04,199.53,201.302
2013-06-10 07:04:13+05:30,50.16,-26.636,0.868,232.21,199.677,201.446
2013-06-10 07:04:14+05:30,50.19,-26.458,0.866,232.04,199.136,200.886
2013-06-10 07:04:15+05:30,50.19,-26.933,0.868,232.1,199.692,201.5
2013-06-10 07:04:16+05:30,50.21,-26.25,0.86,232.15,197.882,199.616
2013-06-10 07:04:17+05:30,50.18,-26.708,0.866,232.05,199.266,201.048
2013-06-10 07:04:18+05:30,50.2,-27.332,0.882,232,202.763,204.597
2013-06-10 07:04:19+05:30,50.2,-27.783,0.891,232.01,204.84,206.716
2013-06-10 07:04:20+05:30,50.18,-28.862,0.889,231.96,204.257,206.286
2013-06-10 07:04:21+05:30,50.2,-28.758,0.9,232.01,206.794,208.784
2013-06-10 07:04:22+05:30,50.19,-29.761,0.918,231.97,210.96,213.283
2013-06-10 07:04:23+05:30,50.2,-29.9,0.907,232.01,208.461,215.047
2013-06-10 07:04:24+05:30,50.2,-29.721,0.915,232.07,218.325,212.411
2013-06-10 07:04:25+05:30,50.19,-29.757,0.914,231.98,217.127,212.067
2013-06-10 07:04:26+05:30,50.19,-28.478,0.895,232.16,210.195,207.801
2013-06-10 07:04:27+05:30,50.19,-29.379,0.911,232.27,208.491,211.516
2013-06-10 07:04:28+05:30,50.18,-30.461,0.916,232.11,210.399,212.592
2013-06-10 07:04:29+05:30,50.2,-30.923,0.93,232.12,213.599,215.825
2013-06-10 07:04:30+05:30,50.23,-25.885,0.859,232.15,197.775,199.461
2013-06-10 07:04:31+05:30,50.21,-28.506,0.894,232.21,205.714,207.68
2013-06-10 07:04:32+05:30,50.2,-31.043,0.944,232.23,217.021,219.23
2013-06-10 07:04:33+05:30,50.23,-29.766,0.928,232.2,213.37,215.436
2013-06-10 07:04:34+05:30,50.21,-30.117,0.915,232.22,210.429,212.573
2013-06-10 07:04:35+05:30,50.22,-30.226,0.913,232.3,210.023,212.187
2013-06-10 07:04:36+05:30,50.23,-30.383,0.911,232.23,209.479,211.671
2013-06-10 07:04:37+05:30,50.23,-29.787,0.904,232.29,207.906,210.029
2013-06-10 07:04:38+05:30,50.21,-29.59,0.902,232.28,207.464,209.564
2013-06-10 07:04:39+05:30,50.23,-29.356,0.898,232.33,206.597,208.672
2013-06-10 07:04:40+05:30,50.22,-29.991,0.905,232.41,208.126,210.276
2013-06-10 07:04:41+05:30,50.21,-29.049,0.896,232.33,206.158,208.194
2013-06-10 07:04:42+05:30,50.22,-27.332,0.872,232.43,200.836,202.687
2013-06-10 07:04:43+05:30,50.23,-28.303,0.878,232.4,202.141,204.113
2013-06-10 07:04:45+05:30,50.2,-29.07,0.886,232.38,203.938,206
2013-06-10 07:04:46+05:30,50.21,-28.507,0.879,232.42,202.191,204.19
2013-06-10 07:04:47+05:30,50.21,-27.553,0.873,232.41,201.073,202.952
2013-06-10 07:04:48+05:30,50.21,-27.578,0.875,232.23,201.26,203.141
2013-06-10 07:04:49+05:30,50.22,-28.082,0.882,232.39,203.014,204.947
2013-06-10 07:04:50+05:30,50.23,-28.27,0.882,232.36,202.963,204.922
2013-06-10 07:04:51+05:30,50.23,-27.627,0.874,232.41,201.2,203.088
2013-06-10 07:04:52+05:30,50.21,-28.399,0.883,232.44,203.232,205.206
2013-06-10 07:04:53+05:30,50.21,-28.169,0.88,232.42,202.623,204.572
2013-06-10 07:04:54+05:30,50.21,-27.352,0.873,232.44,200.951,202.804
2013-06-10 07:04:55+05:30,50.23,-27.819,0.875,232.31,201.267,203.18
2013-06-10 07:04:56+05:30,50.23,-27.641,0.875,232.32,201.478,203.365
2013-06-10 07:04:57+05:30,50.21,-27.11,0.871,232.42,200.503,202.328
2013-06-10 07:04:58+05:30,50.22,-27.408,0.874,232.37,201.306,203.163
2013-06-10 07:04:59+05:30,50.24,-28.18,0.879,232.23,202.078,204.034
2013-06-10 07:05:00+05:30,50.21,-27.979,0.88,232.37,202.54,204.463
2013-06-10 07:05:01+05:30,50.21,-26.673,0.868,232.27,199.812,201.585
2013-06-10 07:05:02+05:30,50.21,-28.122,0.887,232.23,204.055,205.984
2013-06-10 07:05:03+05:30,50.22,-28.78,0.894,232.25,205.673,207.677
2013-06-10 07:05:04+05:30,50.21,-29.484,0.903,232.16,207.439,209.524
2013-06-10 07:05:05+05:30,50.22,-30.199,0.917,232.22,210.809,212.961
2013-06-10 07:05:06+05:30,50.21,-28.474,0.899,232.12,206.698,208.651
2013-06-10 07:05:07+05:30,50.21,-28.388,0.893,232.15,205.419,207.371
2013-06-10 07:05:08+05:30,50.2,-29.443,0.895,232.37,205.786,207.882
2013-06-10 07:05:09+05:30,50.21,-28.987,0.886,231.72,203.272,205.329
2013-06-10 07:05:10+05:30,50.2,-28.909,0.893,232.06,205.236,207.262
2013-06-10 07:05:11+05:30,50.19,-28.775,0.887,232.11,203.822,205.843
2013-06-10 07:05:12+05:30,50.21,-29.291,0.894,231.87,205.128,207.208
2013-06-10 07:05:13+05:30,50.2,-28.217,0.884,231.9,203.131,205.081
2013-06-10 07:05:14+05:30,50.2,-30.121,0.909,231.95,208.595,210.759
2013-06-10 07:05:15+05:30,50.21,-30.359,0.901,231.84,206.686,208.903
2013-06-10 07:05:16+05:30,50.2,-28.886,0.888,232.01,203.917,205.953
2013-06-10 07:05:17+05:30,50.21,-28.553,0.884,231.85,203.002,205
2013-06-10 07:05:18+05:30,50.18,-30.977,0.899,231.87,206.157,208.471
2013-06-10 07:05:19+05:30,50.19,-29.213,0.886,231.92,203.325,205.413
2013-06-10 07:05:20+05:30,50.2,-28.503,0.881,231.8,202.142,204.141
2013-06-10 07:05:21+05:30,50.18,-29.398,0.896,231.8,205.638,207.729
2013-06-10 07:05:22+05:30,50.19,-29.153,0.896,231.78,205.602,207.658
2013-06-10 07:05:23+05:30,50.2,-29.201,0.89,231.66,204.205,207.154
2013-06-10 07:05:24+05:30,50.19,-28.39,0.895,231.59,205.165,208.153
2013-06-10 07:05:25+05:30,50.19,-28.306,0.898,231.72,206.494,208.057
2013-06-10 07:05:26+05:30,50.18,-28.602,0.907,231.53,210.748,210.001
2013-06-10 07:05:27+05:30,50.2,-27.81,0.893,231.6,206.441,206.767
2013-06-10 07:05:28+05:30,50.19,-29.147,0.918,231.51,208.826,212.418
2013-06-10 07:05:29+05:30,50.2,-29.382,0.923,231.47,211.52,213.551
2013-06-10 07:05:30+05:30,50.2,-30.621,0.947,231.53,217.08,219.229
2013-06-10 07:05:31+05:30,50.19,-31.385,0.966,231.38,221.308,223.523
2013-06-10 07:05:32+05:30,50.19,-32.095,0.997,231.47,228.598,230.84
2013-06-10 07:05:33+05:30,50.19,-32.475,1.003,231.45,229.79,232.073
2013-06-10 07:05:34+05:30,50.19,-31.084,0.95,231.6,217.845,220.052
2013-06-10 07:05:35+05:30,50.21,-31.729,0.965,231.57,221.227,223.491
2013-06-10 07:05:36+05:30,50.19,-31.205,0.951,231.6,218.093,220.314
2013-06-10 07:05:37+05:30,50.18,-31.343,0.958,231.62,219.77,221.994
2013-06-10 07:05:38+05:30,50.2,-30.692,0.954,231.69,218.963,221.103
2013-06-10 07:05:39+05:30,50.18,-29.509,0.929,231.31,212.856,214.892
2013-06-10 07:05:40+05:30,50.19,-29.319,0.919,231.39,210.704,212.734
2013-06-10 07:05:42+05:30,50.19,-29.893,0.934,231.55,214.212,216.288
2013-06-10 07:05:43+05:30,50.2,-30.6,0.942,231.3,215.641,217.801
2013-06-10 07:05:44+05:30,50.18,-29.748,0.932,231.46,213.583,215.644
2013-06-10 07:05:45+05:30,50.19,-31.258,0.966,231.28,221.246,223.443
2013-06-10 07:05:46+05:30,50.19,-30.542,0.954,231.4,218.553,220.676
2013-06-10 07:05:48+05:30,50.18,-30.908,0.961,231.37,220.151,222.31
2013-06-10 07:05:49+05:30,50.19,-30.77,0.942,231.29,215.775,217.958
2013-06-10 07:05:50+05:30,50.2,-30.021,0.939,231.38,215.255,217.338
2013-06-10 07:05:51+05:30,50.19,-29.157,0.926,231.42,212.273,214.267
2013-06-10 07:05:52+05:30,50.18,-28.864,0.919,231.36,210.665,212.633
2013-06-10 07:05:53+05:30,50.19,-29.943,0.931,231.28,213.344,215.435
2013-06-10 07:05:54+05:30,50.2,-30.102,0.93,231.4,213.009,215.126
2013-06-10 07:05:55+05:30,50.17,-30.022,0.934,231.26,213.845,215.942
2013-06-10 07:05:56+05:30,50.2,-30.15,0.934,231.28,213.919,216.033
2013-06-10 07:05:57+05:30,50.18,-29.195,0.923,231.47,211.741,213.744
2013-06-10 07:05:58+05:30,50.16,-28.881,0.916,231.53,210.164,212.139
2013-06-10 07:05:59+05:30,50.16,-28.008,0.902,231.57,207.072,208.957
2013-06-10 07:06:00+05:30,50.18,-27.874,0.899,231.63,206.401,208.274
2013-06-10 07:06:01+05:30,50.19,-28.465,0.903,231.47,206.956,208.905
2013-06-10 07:06:02+05:30,50.17,-28.396,0.911,231.81,209.225,211.143
2013-06-10 07:06:03+05:30,50.17,-29.352,0.919,231.77,211.058,213.089
2013-06-10 07:06:04+05:30,50.18,-28.407,0.905,231.65,207.731,209.665
2013-06-10 07:06:05+05:30,50.17,-28.509,0.912,231.65,209.295,211.228
2013-06-10 07:06:06+05:30,50.16,-28.027,0.903,231.89,207.554,209.438
2013-06-10 07:06:07+05:30,50.16,-28.279,0.897,231.73,206.009,207.941
2013-06-10 07:06:08+05:30,50.17,-27.717,0.89,231.77,204.442,206.312
2013-06-10 07:06:09+05:30,50.16,-27.593,0.9,231.83,206.783,208.616
2013-06-10 07:06:10+05:30,50.16,-29.453,0.919,231.78,211.021,213.066
2013-06-10 07:06:11+05:30,50.16,-28.055,0.905,231.79,207.984,209.867
2013-06-10 07:06:12+05:30,50.17,-27.961,0.903,231.76,207.297,209.175
2013-06-10 07:06:13+05:30,50.16,-29.128,0.901,231.64,206.679,208.722
2013-06-10 07:06:14+05:30,50.16,-29.056,0.909,231.72,208.732,210.745
2013-06-10 07:06:15+05:30,50.17,-28.011,0.892,231.39,204.44,206.35
2013-06-10 07:06:16+05:30,50.17,-28.433,0.901,231.35,206.484,208.432
2013-06-10 07:06:17+05:30,50.16,-29.63,0.919,231.4,210.625,212.699
2013-06-10 07:06:18+05:30,50.16,-29.233,0.921,231.37,210.994,213.009
2013-06-10 07:06:19+05:30,50.12,-27.145,0.892,231.36,204.696,206.488
2013-06-10 07:06:20+05:30,50.14,-27.333,0.894,231.61,205.139,206.952
2013-06-10 07:06:21+05:30,50.16,-27.368,0.891,231.48,204.496,206.319
2013-06-10 07:06:22+05:30,50.16,-26.846,0.886,231.58,203.409,205.173
2013-06-10 07:06:23+05:30,50.16,-26.459,0.884,231.56,202.929,204.739
2013-06-10 07:06:24+05:30,50.17,-27.616,0.898,231.48,206.066,207.526
2013-06-10 07:06:25+05:30,50.15,-29.693,0.916,231.51,207.008,212.071
2013-06-10 07:06:26+05:30,50.13,-29.229,0.916,231.45,212.798,212.148
2013-06-10 07:06:27+05:30,50.16,-27.5,0.897,231.48,208.821,207.669
2013-06-10 07:06:28+05:30,50.15,-27.586,0.898,231.6,206.88,207.776
2013-06-10 07:06:29+05:30,50.15,-27.304,0.894,231.47,205.01,206.821
2013-06-10 07:06:30+05:30,50.15,-27.13,0.89,231.45,204.111,205.906
2013-06-10 07:06:31+05:30,50.16,-27.133,0.888,231.4,203.595,205.395
2013-06-10 07:06:32+05:30,50.16,-27.539,0.891,231.49,204.33,206.177
2013-06-10 07:06:33+05:30,50.16,-27.46,0.889,231.56,204.047,205.887
2013-06-10 07:06:34+05:30,50.16,-27.572,0.891,231.56,204.487,206.337
2013-06-10 07:06:35+05:30,50.16,-27.411,0.892,231.61,204.692,206.519
2013-06-10 07:06:36+05:30,50.14,-26.336,0.877,231.78,201.649,203.361
2013-06-10 07:06:37+05:30,50.14,-27.523,0.902,231.45,206.945,208.767
2013-06-10 07:06:38+05:30,50.14,-26.563,0.888,231.79,204.105,205.826
2013-06-10 07:06:39+05:30,50.14,-25.45,0.87,231.78,200.116,201.728
2013-06-10 07:06:55+05:30,50.14,-25.813,0.875,231.58,201.087,202.737
2013-06-10 07:06:56+05:30,50.13,-25.985,0.881,231.62,202.283,203.946
2013-06-10 07:06:57+05:30,50.13,-27.511,0.903,231.57,207.398,209.215
2013-06-10 07:06:58+05:30,50.13,-27.884,0.905,231.56,207.664,209.528
2013-06-10 07:07:00+05:30,50.13,-27.625,0.895,231.6,205.484,207.332
2013-06-10 07:07:01+05:30,50.14,-27.357,0.882,231.54,202.314,204.156
2013-06-10 07:07:02+05:30,50.11,-26.511,0.873,231.61,200.501,202.246
2013-06-10 07:07:03+05:30,50.13,-26.276,0.868,231.72,199.311,201.035
2013-06-10 07:07:04+05:30,50.11,-25.841,0.862,231.58,197.924,199.604
2013-06-10 07:07:05+05:30,50.13,-25.964,0.863,231.6,198.28,199.973
2013-06-10 07:07:06+05:30,50.12,-26.502,0.87,231.68,199.869,201.619
2013-06-10 07:07:07+05:30,50.15,-26.068,0.87,231.69,199.929,201.621
2013-06-10 07:07:08+05:30,50.13,-26.13,0.872,231.7,200.411,202.108
2013-06-10 07:07:09+05:30,50.12,-25.248,0.861,231.75,198.026,199.629
2013-06-10 07:07:10+05:30,50.13,-26.229,0.875,231.62,201.035,202.739
2013-06-10 07:07:11+05:30,50.13,-26.064,0.872,231.68,200.228,201.917
2013-06-10 07:07:12+05:30,50.13,-25.849,0.869,231.63,199.607,201.274
2013-06-10 07:07:13+05:30,50.14,-25.943,0.877,231.5,201.444,203.107
2013-06-10 07:07:14+05:30,50.12,-26.73,0.884,231.69,203.006,204.758
2013-06-10 07:07:15+05:30,50.12,-26.62,0.891,231.51,204.494,206.219
2013-06-10 07:07:16+05:30,50.13,-28.185,0.91,231.59,208.796,210.69
2013-06-10 07:07:17+05:30,50.13,-27.645,0.903,231.69,207.453,209.287
2013-06-10 07:07:18+05:30,50.13,-26.68,0.888,231.58,203.845,205.584
2013-06-10 07:07:19+05:30,50.13,-27.497,0.899,231.64,206.37,208.194
2013-06-10 07:07:20+05:30,50.13,-26.853,0.893,231.78,205.296,207.044
2013-06-10 07:07:21+05:30,50.14,-25.69,0.87,231.7,199.975,201.618
2013-06-10 07:07:22+05:30,50.13,-26.433,0.889,231.9,204.407,206.109
2013-06-10 07:07:23+05:30,50.12,-26.723,0.895,232.07,205.87,207.248
2013-06-10 07:07:24+05:30,50.12,-26.763,0.897,231.98,206.429,208.942
2013-06-10 07:07:25+05:30,50.1,-26.344,0.889,232.04,204.606,205.989
2013-06-10 07:07:26+05:30,50.1,-26.448,0.892,232.09,205.191,206.847
2013-06-10 07:07:27+05:30,50.12,-26.113,0.887,231.97,204.712,205.703
2013-06-10 07:07:28+05:30,50.12,-26.792,0.897,231.95,207.531,208.214
2013-06-10 07:07:29+05:30,50.13,-28.993,0.915,232.24,210.386,212.374
2013-06-10 07:07:30+05:30,50.1,-27.799,0.914,232,210.222,212.052
2013-06-10 07:07:31+05:30,50.12,-27.517,0.912,232.05,209.809,211.606
2013-06-10 07:07:32+05:30,50.13,-27.626,0.912,231.9,209.768,211.58
2013-06-10 07:07:33+05:30,50.1,-27.214,0.902,232,207.42,209.198
2013-06-10 07:07:34+05:30,50.12,-25.965,0.883,232.08,203.381,205.031
2013-06-10 07:07:35+05:30,50.1,-26.031,0.884,231.96,203.482,205.14
2013-06-10 07:07:36+05:30,50.12,-26.681,0.893,231.91,205.313,207.039
2013-06-10 07:07:37+05:30,50.14,-26.92,0.891,231.99,204.857,206.618
2013-06-10 07:07:38+05:30,50.11,-27.192,0.903,231.9,207.738,209.51
2013-06-10 07:07:39+05:30,50.11,-26.884,0.9,232,207.079,208.817
2013-06-10 07:07:40+05:30,50.13,-27.076,0.904,231.83,207.785,209.541
2013-06-10 07:07:49+05:30,50.12,-26.725,0.897,231.75,206.216,207.941
2013-06-10 07:07:50+05:30,50.13,-26.518,0.892,231.99,205.116,206.823
2013-06-10 07:07:51+05:30,50.12,-26.34,0.891,231.84,204.928,206.614
2013-06-10 07:07:52+05:30,50.12,-26.234,0.892,231.81,205.083,206.754
2013-06-10 07:07:53+05:30,50.09,-26.583,0.89,231.64,204.508,206.229
2013-06-10 07:07:54+05:30,50.1,-26.289,0.889,231.7,204.264,205.949
2013-06-10 07:07:55+05:30,50.11,-26.208,0.888,231.72,204.101,205.777
2013-06-10 07:07:56+05:30,50.1,-26.474,0.889,231.78,204.239,205.948
2013-06-10 07:07:57+05:30,50.12,-25.99,0.887,231.69,203.787,205.438
2013-06-10 07:07:58+05:30,50.11,-25.966,0.879,231.65,201.879,203.542
2013-06-10 07:07:59+05:30,50.1,-25.836,0.882,231.66,202.671,204.311
2013-06-10 07:08:00+05:30,50.12,-25.817,0.878,231.78,201.948,203.592
2013-06-10 07:08:01+05:30,50.08,-25.612,0.874,231.79,200.953,202.578
2013-06-10 07:08:02+05:30,50.09,-25.95,0.882,231.72,202.621,204.276
2013-06-10 07:08:03+05:30,50.12,-26.561,0.883,231.72,202.892,204.623
2013-06-10 07:08:04+05:30,50.11,-27.951,0.927,231.8,213.091,214.916
2013-06-10 07:08:05+05:30,50.12,-27.805,0.916,231.66,210.288,212.119
2013-06-10 07:08:06+05:30,50.1,-26.136,0.89,231.66,204.559,206.222
2013-06-10 07:08:07+05:30,50.12,-26.423,0.892,231.72,205.06,206.755
2013-06-10 07:08:08+05:30,50.1,-27.106,0.891,231.56,204.486,206.275
2013-06-10 07:08:09+05:30,50.11,-28.056,0.909,231.57,208.568,210.446
2013-06-10 07:08:10+05:30,50.12,-25.968,0.887,231.67,203.96,205.606
2013-06-10 07:08:11+05:30,50.12,-25.223,0.875,231.58,201.027,202.603
2013-06-10 07:08:12+05:30,50.12,-25.174,0.878,232.31,202.506,204.065
2013-06-10 07:08:13+05:30,50.11,-24.98,0.875,232.43,201.816,203.356
2013-06-10 07:08:14+05:30,50.13,-25.123,0.877,232.31,202.247,203.801
2013-06-10 07:08:15+05:30,50.11,-25.513,0.881,232.32,203.072,204.668
2013-06-10 07:08:16+05:30,50.11,-25.964,0.883,232.39,203.478,205.128
2013-06-10 07:08:17+05:30,50.11,-25.572,0.883,232.39,203.496,205.096
